code,name,stock_price,expectd_value,EPS,BPS,PER,industry_PER,PBR,dividend_yield
069140,누리플랜,4215,-12061,-661,4334,N/A,23.63,0.97,
069330,유아이디,1055,-6627,-1126,1415,N/A,142.54,0.75,
069410,엔텔스,9380,7398,295,6252,31.84,17.66,1.5,
069510,에스텍,9060,23919,1576,18311,5.75,25.96,0.49,6.62%
069540,라이트론,5420,6035,255,2868,21.26,58.75,1.89,
069920,아이에스이커머스,3590,-416,-632,2007,N/A,18.26,1.79,
070300,한솔시큐어,10500,2317,175,3165,60.14,23.08,3.32,
070590,한솔인티큐브,6580,724,-64,1759,N/A,17.66,3.74,
071200,인피니트헬스케어,6200,3637,297,3472,20.87,39.14,1.79,
071280,로체시스템즈,4810,4767,78,4383,61.48,153.45,1.1,
071460,위니아딤채,2590,414,130,2420,19.93,15.74,1.07,
071670,에이테크솔루션,6010,-1499,144,7078,41.87,N/A,0.85,
071850,캐스텍코리아,2170,-3873,-346,7467,N/A,10.36,0.29,
072020,중앙백신,15800,6443,186,8673,84.87,121.34,1.82,0.32%
072470,우리산업홀딩스,5830,4434,10,6838,610.01,10.36,0.85,0.43%
072520,제넨바이오,1335,-1385,-661,322,N/A,23.63,4.14,
072770,율호,1805,542,-62,636,N/A,17.72,2.84,
072870,메가스터디,10750,18180,1063,22486,10.11,N/A,0.48,4.19%
072950,빛샘전자,4645,8124,319,9734,14.57,58.75,0.48,2.15%
072990,에이치시티,9410,7128,886,7229,10.62,25.96,1.3,0.32%
073010,케이에스피,1485,-227,45,631,32.75,N/A,2.35,
